# Constraints on bitstream values from levels. Each column of this table enumerates a combination of parameter values] which may be used simultaneously in a VC-2 stream,,,,,,,,,,,,,,,,,,,,,,
# See vc2_conformance/level_constraints.py for meanings of the values in the table,,,,,,,,,,,,,,,,,,,,,,
# See vc2_conformance/constraint_table.py for details of how constraint tables are parsed and enforced,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# (11.2.1),# Unconcstrained,# Sub-SD,# SD480i-60,# SD480p-30,# SD Interlaced,# SD Progressive,# HD Progressive,# HD Interlaced,# HD Interlaced as progressive,# D-Cinema 2K,# D-Cinema 4K,# UHDTV 4K,# UHDTV 8K,# 1080p60 over SDI,# 1080p50 over SDI,# 720p60 over SD SDI,# 720p50 over SD SDI,# 1080i60 over SD SDI,# 1080i50 over SD SDI,# 1440x1080i60 over SD SDI,# 1440x1080i50 over SD SDI,# UHD over HD
asym_transform_index_flag,any,FALSE,FALSE,"""","""","""",FALSE,"""","""",FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
wavelet_index_ho,any,,,,,,,,,,,,,,,,,,,,,
asym_transform_flag,any,FALSE,FALSE,"""","""","""",FALSE,"""","""",FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
dwt_depth_ho,any,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# (12.4.5.2),,,,,,,,,,,,,,,,,,,,,,
slices_x,any,any,any,"""","""","""",any,"""","""",any,any,any,any,120,"""",80,"""",120,"""",90,"""",120
slices_y,any,any,any,"""","""","""",any,"""","""",any,any,any,any,270,"""",90,"""",68,"""",68,"""",270
slices_have_same_dimensions,any,TRUE,TRUE,“,“,“,TRUE,“,“,TRUE,TRUE,TRUE,TRUE,any,“,any,“,any,“,any,“,any
slice_bytes_numerator,any,any,any,"""","""","""",any,"""","""",any,any,any,any,64,"""",243,288,729,864,972,1152,
slice_bytes_denominator,any,any,any,"""","""","""",any,"""","""",any,any,any,any,1,"""",5,5,17,17,17,17,
slice_prefix_bytes,any,any,any,"""","""","""",any,"""","""",any,any,any,any,,,,,,,,,0
slice_size_scaler,any,any,any,"""","""","""",any,"""","""",any,any,any,any,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,
# (12.4.5.3),,,,,,,,,,,,,,,,,,,,,,
custom_quant_matrix,any,any,any,“,“,“,any,“,“,any,any,any,any,FALSE,“,FALSE,“,“,“,“,“,FALSE
quant_matrix_values,any,0-127,0-127,"""","""","""",0-127,"""","""",0-127,0-127,0-127,0-127,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# (13.5.3),,,,,,,,,,,,,,,,,,,,,,
qindex,any,any,any,"""","""","""",any,"""","""",any,any,any,any,any,“,any,“,any,“,any,“,any
,,,,,,,,,,,,,,,,,,,,,,
# (13.5.3.2),,,,,,,,,,,,,,,,,,,,,,
total_slice_bytes,any,any,any,"""","""","""",any,"""","""",any,any,any,any,,,,,,,,,128
